Unique ID,Vulnerabilities
1,"CVE-2023-32154, CVE-2018-5951, CVE-2021-36613, CVE-2022-36522, CVE-2020-20231, CVE-2021-36614, CVE-2022-45315, CVE-2021-41987, CVE-2021-3014, CVE-2022-45313"
2,"CVE-2019-6110, CVE-2018-20685, CVE-2021-36368, CVE-2025-26465, CVE-2025-32728, CVE-2020-14145, CVE-2023-51767, CVE-2020-15778, CVE-2023-48795, CVE-2023-38408, CVE-2023-51385, CVE-2021-41617, CVE-2007-2768, CVE-2016-20012, CVE-2019-6111, CVE-2019-16905, CVE-2008-3844, CVE-2019-6109"
3,"CVE-2023-44487, CVE-2019-9516, CVE-2019-9513, CVE-2019-9511, CVE-2021-23017, CVE-2021-3618, CVE-2019-20372, CVE-2018-16845"
4,"CVE-2024-25117, CVE-2013-2220, CVE-2022-4900, CVE-2024-5458, CVE-2007-3205, CVE-2024-3566"
5,"CVE-2023-44487, CVE-2019-9516, CVE-2019-9513, CVE-2019-9511, CVE-2021-23017, CVE-2021-3618, CVE-2019-20372"
6,"CVE-2023-2729, CVE-2023-32955, CVE-2023-32956, CVE-2023-0077, CVE-2023-41738, CVE-2023-41739, CVE-2023-41741, CVE-2023-41740, CVE-2022-43932, CVE-2023-0142"
7,"CVE-2016-20012, CVE-2021-36368, CVE-2025-26465, CVE-2025-32728, CVE-2020-14145, CVE-2023-51767, CVE-2023-48795, CVE-2023-38408, CVE-2007-2768, CVE-2008-3844, CVE-2023-51385, CVE-2021-41617, CVE-2021-28041"
8,"CVE-2023-51385, CVE-2016-20012, CVE-2018-15919, CVE-2025-32728, CVE-2021-36368, CVE-2025-26465, CVE-2023-51767, CVE-2018-20685, CVE-2018-15473, CVE-2020-14145, CVE-2020-15778, CVE-2023-48795, CVE-2023-38408, CVE-2007-2768, CVE-2008-3844, CVE-2019-6111, CVE-2019-6110, CVE-2021-41617, CVE-2019-6109"
9,"CVE-2014-2324, CVE-2014-2323, CVE-2010-0295, CVE-2018-19052, CVE-2013-4559, CVE-2015-3200, CVE-2019-11072, CVE-2011-4362, CVE-2013-4560, CVE-2013-1427"
10,"CVE-2021-21707, CVE-2024-3566, CVE-2022-31628, CVE-2022-31629, CVE-2022-31626, CVE-2022-31625, CVE-2017-9118, CVE-2022-31630, CVE-2022-37454, CVE-2024-25117, CVE-2017-8923, CVE-2021-21705, CVE-2021-21704, CVE-2021-21703, CVE-2013-2220, CVE-2022-4900, CVE-2024-5458, CVE-2017-9120, CVE-2021-21706, CVE-2007-3205, CVE-2021-21708"
